훈련과정 ID,회차,만족도(5점),대표값출처,수강인원,평가인원,평가참여율,추천인원,추천응답인원,전반적 만족도,경력개발지원,과제 및 피드백,교강사,프로젝트 학습,훈련과정 편성 및 운영,훈련과정 현장지향성,훈련환경 및 장비,개인성과,과정성과,훈련과정 실무연계성,평가 및 피드백
AIG20200000286660,29,4.6,전반적 만족도,17,15,88.2,15,15,4.6,4.8,4.8,4.7,4.6,4.7,4.6,4.8,4.6,4.7,5.0,
AIG20200000286660,30,4.9,전반적 만족도,19,18,94.7,18,18,4.9,4.8,4.8,4.9,4.8,4.8,4.8,4.9,4.7,4.8,5.0,
AIG20200000286660,31,4.6,전반적 만족도,14,11,78.6,11,11,4.6,4.7,4.6,4.8,4.8,4.7,4.5,4.6,4.5,4.6,,
AIG20200000286660,32,4.5,전반적 만족도,24,22,91.7,21,22,4.5,4.5,4.5,4.6,4.7,4.5,4.6,4.5,4.4,4.5,4.3,
AIG20200000286666,11,4.0,전반적 만족도,16,11,68.8,8,11,4.0,3.6,3.9,4.1,3.9,4.0,4.1,4.1,3.7,3.8,3.6,
AIG20200000286666,12,4.2,전반적 만족도,19,16,84.2,12,16,4.2,4.2,4.3,4.8,4.5,4.2,4.3,4.1,4.1,3.9,4.3,
AIG20200000286670,5,4.6,전반적 만족도,23,20,87,19,20,4.6,4.4,4.5,4.6,4.7,4.5,4.4,4.4,4.27,4.3,5.0,
AIG20200000286675,10,4.1,전반적 만족도,18,16,88.9,12,16,4.1,4.2,4.1,4.2,4.2,4.1,4.1,4.3,4.07,4.0,,
AIG20200000286678,6,4.0,전반적 만족도,10,9,90,8,9,4.0,3.9,4.0,3.9,4.0,3.9,4.2,4.1,4.0,4.0,3.6,
AIG20200000286678,7,4.5,전반적 만족도,18,16,88.9,13,16,4.5,4.3,4.4,4.6,4.4,4.4,4.3,4.6,4.23,4.2,3.6,
AIG20200000286678,8,4.5,전반적 만족도,6,4,66.7,3,4,4.5,4.5,4.4,4.4,4.6,4.4,4.5,4.5,4.43,4.3,,
AIG20200000286681,4,4.3,전반적 만족도,20,13,65,11,13,4.3,4.3,4.4,4.3,4.4,4.2,4.6,4.1,4.0,4.0,,
AIG20200000286683,4,4.7,전반적 만족도,20,13,65,13,13,4.7,4.0,4.5,4.5,4.5,4.4,4.4,4.6,4.27,4.6,,
AIG20200000286683,5,4.4,전반적 만족도,16,9,56.3,9,9,4.4,3.9,4.5,4.5,4.6,4.4,4.4,4.6,4.27,4.4,4.3,
AIG20200000286683,6,4.6,전반적 만족도,10,7,70,7,7,4.6,4.7,4.8,4.9,4.8,4.7,4.7,4.9,4.67,4.7,,
AIG20200000286683,7,4.6,전반적 만족도,12,8,66.7,7,8,4.6,3.9,4.6,4.7,4.7,4.7,4.9,4.6,4.73,4.5,5.0,
AIG20200000286683,8,3.7,전반적 만족도,20,14,70,12,14,3.7,3.4,3.8,4.0,4.1,3.8,3.8,4.1,3.93,3.8,,
AIG20200000286683,9,4.2,전반적 만족도,12,10,83.3,10,10,4.2,4.0,4.4,4.6,4.4,4.2,4.2,4.4,4.1,4.3,4.3,
AIG20200000286683,10,4.4,전반적 만족도,5,5,100,5,5,4.4,4.6,4.5,4.5,4.6,4.5,4.3,4.6,4.43,4.6,5.0,
AIG20200000286689,12,4.2,전반적 만족도,24,18,75,17,18,4.2,3.7,3.8,4.7,4.1,3.9,4.4,4.3,3.67,3.9,3.8,
AIG20200000286689,13,4.0,전반적 만족도,17,15,88.2,11,15,4.0,3.8,3.9,4.2,4.2,3.8,4.1,4.0,4.03,3.8,5.0,
AIG20200000286689,14,3.7,전반적 만족도,20,12,60,6,12,3.7,3.9,3.5,3.7,3.7,3.6,3.6,3.9,3.57,3.3,,
AIG20200000286689,15,3.6,전반적 만족도,18,12,66.7,9,12,3.6,3.3,3.9,3.9,4.0,3.3,3.5,3.8,3.73,3.3,4.3,
AIG20200000286689,16,5.0,전반적 만족도,20,10,50,10,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.37,4.8,,
AIG20200000286689,17,4.4,전반적 만족도,15,15,100,14,15,4.4,4.1,4.3,4.4,4.2,4.1,4.1,4.3,4.0,4.1,,
AIG20200000286689,18,2.6,전반적 만족도,21,17,81,5,17,2.6,3.0,3.0,3.4,3.1,2.8,3.0,3.4,2.9,2.5,1.4,
AIG20200000286689,20,4.2,전반적 만족도,16,12,75,10,12,4.2,4.0,4.3,4.3,4.3,4.2,4.2,4.6,4.03,4.1,5.0,
AIG20200000286692,9,4.7,전반적 만족도,20,15,75,14,15,4.7,4.5,4.7,4.8,4.8,4.7,4.7,4.5,4.67,4.5,4.5,
AIG20200000286692,10,3.9,전반적 만족도,13,7,53.8,4,7,3.9,3.7,3.9,4.0,3.8,4.1,4.3,4.0,4.33,3.9,,
AIG20200000286692,11,4.5,전반적 만족도,7,4,57.1,3,4,4.5,4.3,4.4,4.2,4.5,4.5,5.0,4.2,4.6,4.1,2.9,
AIG20200000286692,12,4.8,전반적 만족도,8,6,75,5,6,4.8,4.9,4.6,4.8,4.8,4.8,4.8,4.9,4.4,4.8,4.8,
AIG20200000286696,3,4.1,전반적 만족도,40,27,67.5,21,27,4.1,3.6,4.1,4.3,4.0,4.0,4.0,4.4,4.13,3.7,3.6,
AIG20200000286696,4,4.0,전반적 만족도,33,23,69.7,20,23,4.0,3.4,3.8,4.0,4.0,3.9,4.2,4.3,3.97,3.9,4.3,
AIG20200000286696,5,4.7,전반적 만족도,40,29,72.5,28,29,4.7,4.0,4.5,4.7,4.6,4.5,4.6,4.5,4.53,4.7,5.0,
AIG20200000288889,8,4.3,전반적 만족도,27,20,74.1,19,20,4.3,3.9,4.2,4.3,4.3,4.1,4.3,4.2,4.2,3.5,3.6,
AIG20200000288889,9,4.1,전반적 만족도,29,26,89.7,20,26,4.1,3.8,4.1,3.9,4.1,4.0,4.2,4.1,4.07,3.8,3.8,
AIG20200000288889,10,3.8,전반적 만족도,20,16,80,13,16,3.8,4.1,4.2,4.2,4.4,4.0,4.0,4.2,3.83,3.6,4.3,
AIG20200000288889,11,3.9,전반적 만족도,20,13,65,11,13,3.9,4.1,4.3,4.4,4.5,4.1,4.2,3.8,3.87,3.6,3.8,
AIG20200000288890,5,4.3,전반적 만족도,24,17,70.8,16,17,4.3,4.1,4.0,4.5,4.4,4.2,4.6,4.3,4.4,4.0,4.3,
AIG20200000288890,6,4.7,전반적 만족도,18,13,72.2,13,13,4.7,4.4,4.7,4.7,4.8,4.6,4.8,4.6,4.57,4.6,,
AIG20200000288892,18,3.8,전반적 만족도,43,32,74.4,30,32,3.8,4.1,4.0,4.3,4.3,3.9,4.1,3.9,3.93,3.8,4.0,
AIG20200000288892,19,3.8,전반적 만족도,35,25,71.4,17,25,3.8,3.7,3.9,4.0,4.1,4.0,3.9,3.8,3.73,3.4,4.5,
AIG20200000288895,11,4.0,전반적 만족도,63,40,63.5,34,40,4.0,4.0,4.2,4.2,4.3,4.1,4.1,4.3,3.87,3.7,4.6,
AIG20200000288895,12,4.3,전반적 만족도,23,20,87,20,20,4.3,3.9,4.4,4.3,4.4,4.2,4.2,4.3,3.97,4.0,4.9,
AIG20200000288895,13,4.2,전반적 만족도,18,16,88.9,16,16,4.2,3.9,4.5,4.5,4.5,4.3,4.0,4.3,4.2,3.9,5.0,
AIG20200000313010,18,3.8,전반적 만족도,83,56,67.5,41,56,3.8,3.8,3.7,3.8,3.8,3.7,4.0,3.6,3.67,3.2,3.8,
AIG20200000313409,5,4.5,전반적 만족도,22,13,59.1,12,13,4.5,4.3,4.6,4.5,4.5,4.5,4.5,4.5,4.57,4.5,5.0,
AIG20200000313409,6,4.5,전반적 만족도,30,20,66.7,19,20,4.5,4.4,4.4,4.3,4.4,4.4,4.5,4.5,4.43,4.2,4.5,
AIG20200000313528,41,4.7,전반적 만족도,22,21,95.5,19,21,4.7,4.7,4.8,4.7,4.8,4.7,4.7,4.7,4.57,4.3,5.0,
AIG20200000313528,42,4.8,전반적 만족도,22,20,90.9,20,20,4.8,4.7,4.8,4.9,4.9,4.8,4.9,4.7,4.6,4.5,3.6,
AIG20200000313528,43,4.7,전반적 만족도,22,21,95.5,21,21,4.7,4.7,4.7,4.8,4.8,4.7,4.8,4.6,4.6,4.3,,
AIG20200000313528,44,5.0,전반적 만족도,20,19,95,19,19,5.0,4.7,4.8,4.9,4.9,4.8,5.0,4.9,4.8,4.8,5.0,
AIG20200000313528,45,4.7,전반적 만족도,21,19,90.5,18,19,4.7,4.7,4.8,4.8,4.8,4.7,4.7,4.7,4.67,4.5,,
AIG20200000313528,46,4.8,전반적 만족도,20,18,90,18,18,4.8,4.5,4.7,4.7,4.6,4.7,4.7,4.5,4.63,4.6,3.9,
AIG20200000313528,47,4.8,전반적 만족도,21,18,85.7,18,18,4.8,4.6,4.7,4.8,4.8,4.8,4.9,4.6,4.77,4.6,5.0,
AIG20200000313528,48,4.6,전반적 만족도,21,20,95.2,20,20,4.6,4.6,4.6,4.7,4.7,4.7,4.8,4.6,4.5,4.5,,
AIG20200000313528,49,4.3,전반적 만족도,20,17,85,16,17,4.3,4.1,4.3,4.3,4.2,4.2,4.4,4.2,4.13,3.8,3.2,
AIG20200000313528,50,4.8,전반적 만족도,20,19,95,19,19,4.8,4.7,4.8,4.8,4.8,4.7,4.8,4.7,4.73,4.7,,
AIG20200000313528,51,4.8,전반적 만족도,18,15,83.3,15,15,4.8,4.8,4.7,4.8,4.9,4.6,4.7,4.8,4.57,4.6,,
AIG20200000313528,52,4.6,전반적 만족도,16,16,100,16,16,4.6,4.5,4.6,4.6,4.6,4.5,4.6,4.4,4.33,4.3,5.0,
AIG20200000313528,53,4.6,전반적 만족도,18,16,88.9,15,16,4.6,4.6,4.7,4.8,4.7,4.5,4.7,4.6,4.23,4.5,,
AIG20200000313528,54,4.7,전반적 만족도,18,17,94.4,17,17,4.7,4.4,4.6,4.7,4.8,4.6,4.8,4.5,4.53,4.5,,
AIG20200000313528,55,4.6,전반적 만족도,18,14,77.8,13,14,4.6,4.6,4.6,4.6,4.7,4.6,4.7,4.6,4.67,4.6,4.3,
AIG20200000313528,56,4.6,전반적 만족도,22,21,95.5,20,21,4.6,4.5,4.6,4.7,4.7,4.6,4.7,4.4,4.57,4.2,,
