훈련과정 ID,회차
AIG20220000409240,1
AIG20210000314442,3
AIG20220000409255,1
AIG20220000366679,2
AIG20220000409285,1
AIG20220000409283,1
AIG20200000288890,4
AIG20210000328971,10
AIG20220000409416,1
AIG20220000409417,1
AIG20210000328823,3
AIG20220000409369,1
AIG20220000366697,4
AIG20220000409445,1
AIG20220000366732,2
AIG20220000409455,6
AIG20210000313623,4
AIG20220000366873,2
AIG20220000409357,2
AIG20220000409409,1
AIG20220000409398,1
AIG20220000366896,4
AIG20220000366700,4
AIG20220000366862,2
AIG20220000409222,1
AIG20220000409437,1
AIG20210000328873,9
AIG20220000366826,2
AIG20210000313691,5
AIG20220000409355,2
AIG20200000286644,10
AIG20220000366909,1
AIG20210000314447,3
AIG20220000409202,1
AIG20220000409299,1
AIG20210000314468,13
AIG20220000366854,6
AIG20220000409335,1
AIG20220000409415,1
AIG20210000328553,3
AIG20220000366767,2
AIG20210000314425,5
AIG20220000366799,3
AIG20220000409436,1
AIG20220000366896,5
AIG20210000313610,4
AIG20220000409253,1
AIG20210000314472,20
AIG20220000366858,2
AIG20200000313409,4
AIG20210000313590,4
AIG20210000328612,6
AIG20210000328992,7
AIG20220000409413,1
AIG20210000313678,7
AIG20220000409421,3
AIG20210000313580,7
AIG20220000366854,7
AIG20220000409238,1
AIG20200000286592,12
AIG20220000366787,3
AIG20220000412370,1
AIG20210000328557,8
AIG20220000409382,1
AIG20220000409295,1
AIG20220000366725,2
AIG20220000409385,1
AIG20220000409387,1
AIG20210000328983,3
AIG20220000366771,1
AIG20220000409304,1
AIG20220000409409,2
AIG20220000409279,2
AIG20210000328867,2
AIG20210000328865,5
AIG20220000366692,2
AIG20200000288895,10
AIG20200000313547,24
AIG20210000328805,7
AIG20220000366743,2
AIG20220000409312,1
AIG20220000409350,1
AIG20220000409240,2
AIG20220000366774,2
AIG20210000328802,3
AIG20220000409265,1
AIG20210000313664,4
AIG20210000314415,2
AIG20210000328611,1
AIG20220000366827,2
AIG20200000286666,10
AIG20210000328828,5
AIG20220000409224,1
AIG20200000286689,10
AIG20210000314433,3
AIG20220000409328,1
AIG20220000409392,1
AIG20210000314442,4
AIG20210000314441,2
AIG20220000366913,3
AIG20220000366736,4
AIG20220000409222,2
AIG20220000366784,1
AIG20210000313603,6
AIG20200000313010,17
AIG20210000313622,3
AIG20210000328870,6
AIG20220000409298,1
AIG20220000409418,2
AIG20220000409420,1
AIG20220000409285,2
AIG20210000328571,9
AIG20220000409339,1
AIG20220000366700,5
AIG20220000366896,6
AIG20220000366720,5
AIG20220000366721,5
AIG20210000314455,2
AIG20210000314456,2
AIG20200000288892,17
AIG20220000366793,2
AIG20220000366854,8
AIG20210000313674,5
AIG20210000328839,11
AIG20210000328873,10
AIG20220000366925,3
AIG20220000409391,1
AIG20200000286670,4
AIG20210000314466,23
AIG20210000328572,8
AIG20210000328860,11
AIG20220000409357,3
AIG20220000409373,2
AIG20210000314446,4
AIG20220000366925,4
AIG20200000286653,3
AIG20220000412370,2
AIG20220000366918,4
AIG20210000313691,6
AIG20220000366772,3
AIG20210000329032,14
AIG20210000329032,20
AIG20210000329032,22
AIG20210000329032,24
AIG20210000329032,30
AIG20220000366789,11
AIG20220000366987,2
AIG20210000328824,2
AIG20210000313599,2
AIG20210000328610,4
AIG20210000328828,6
AIG20210000328922,3
AIG20210000329032,15
AIG20210000329032,17
AIG20210000329032,23
AIG20210000329032,25
AIG20220000366722,2
AIG20220000366785,3
AIG20220000366789,7
AIG20220000366789,9
AIG20220000366801,2
AIG20220000409252,1
AIG20220000409326,6
AIG20220000409369,2
AIG20210000328824,3
AIG20210000314413,6
AIG20210000314454,3
AIG20210000329032,16
AIG20210000329032,18
AIG20210000329032,26
AIG20210000329032,28
AIG20220000366729,5
AIG20220000366789,12
AIG20220000409326,5
AIG20210000329032,13
AIG20210000329032,19
AIG20210000329032,21
AIG20210000329032,27
AIG20210000329032,29
AIG20220000366729,4
AIG20220000366729,6
