고유값,과정명,훈련과정 ID,회차,훈련기관,총 훈련일수,총 훈련시간,과정시작일,과정종료일,NCS명,NCS코드,훈련비,정원,수강신청 인원,수료인원,수료율,만족도,지역,주소,과정페이지 링크,선도기업,파트너기관,매출 최소,실 매출 대비,매출 최대,2021년,2022년,2023년,2024년,2025년,2026년
AIG202200004093357,멀티잇 AI 웹 서비스개발(Python),AIG20220000409335,7,멀티캠퍼스,122,975,2024-02-26,2024-08-19,인공지능모델링,20010703," 17,787,000 ",48,13,11,85%,89,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409335&tracseTme=7&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"195,657,000","184,984,800","231,231,000",0,0,0,"184,984,800",0,0
AIG202200004093984,Python 활용 빅데이터 기반 금융 솔루션 UI 개발자 양성과정,AIG20220000409398,4,KH정보교육원 강남지원,127,1012,2024-02-26,2024-08-30,빅데이터분석,20010105," 9,635,250 ",23,21,15,71%,76.8,서울 강남구,서울특별시 강남구 테헤란로14길 6,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409398&tracseTme=4&trainstCstmrId=500020062069&crseTracseSe=C0061,,,"144,528,750","161,872,200","202,340,250",0,0,0,"161,872,200",0,0
AIG202300004126674,[기업프로젝트] 메타버스 에듀테크 개발자 트랙,AIG20230000412667,4,DW아카데미학원,141,1120,2024-02-26,2024-09-23,응용SW엔지니어링,20010202," 10,614,240 ",30,25,20,80%,75.2,대전 중구,대전광역시 중구 중앙로121번길 20 (선화동 방산빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412667&tracseTme=4&trainstCstmrId=500020022702&crseTracseSe=C0061,,,"212,284,800","212,284,800","265,356,000",0,0,0,"212,284,800",0,0
AIG202300004555912,[언리얼엔진5]게임 클라이언트 & 메타버스 프로그래머 양성과정,AIG20230000455591,2,어소트락평생교육원,120,960,2024-02-26,2024-08-20,가상현실콘텐츠제작,20020401," 9,097,920 ",22,22,16,73%,91,서울 서초구,서울특별시 서초구 사평대로 335 (반포동 금성빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000455591&tracseTme=2&trainstCstmrId=500020034842&crseTracseSe=C0061,,,"145,566,720","160,123,392","200,154,240",0,0,0,"160,123,392",0,0
AIG202100003285536,"자바, 파이썬을 활용한 AWS 클라우드 인공지능 실무과정",AIG20210000328553,6,연희직업전문학교(주),109,826,2024-02-26,2024-08-06,응용SW엔지니어링,20010202," 7,073,860 ",25,23,17,74%,92.8,인천 서구,인천광역시 서구 서곶로 284 (심곡동 새터빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000328553&tracseTme=6&trainstCstmrId=500020041301&crseTracseSe=C0061,,,"120,255,620","130,159,024","162,698,780",0,0,0,"130,159,024",0,0
AIG2021000032886022,채용연계 풀스택 개발자 부트캠프(스프링&리액트),AIG20210000328860,22,멀티캠퍼스,120,966,2024-02-26,2024-08-16,응용SW엔지니어링,20010202," 17,424,000 ",50,26,17,65%,81.6,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000328860&tracseTme=22&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"296,208,000","362,419,200","453,024,000",0,0,0,"362,419,200",0,0
AIG2022000040932623,백엔드 개발자 부트캠프(스프링),AIG20220000409326,23,멀티캠퍼스,98,790,2024-02-26,2024-07-15,응용SW엔지니어링,20010202," 14,229,600 ",50,24,19,79%,87.8,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409326&tracseTme=23&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"270,362,400","273,208,320","341,510,400",0,0,0,"273,208,320",0,0
AIG202300004127355,풀스택 백엔드 개발자 양성 과정,AIG20230000412735,5,플레이데이터평생교육원,120,960,2024-02-26,2024-08-23,응용SW엔지니어링,20010202," 9,097,920 ",30,18,16,89%,81.7,서울 서초구,서울특별시 서초구 효령로 335 (서초동 대호프레조빌),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412735&tracseTme=5&trainstCstmrId=500020011379&crseTracseSe=C0061,,,"145,566,720","131,010,048","163,762,560",0,0,0,"131,010,048",0,0
AIG2022000036678516,클라우드 활용 자바개발자 양성과정,AIG20220000366785,16,구디아카데미,119,946,2024-02-26,2024-08-23,응용SW엔지니어링,20010202," 8,101,540 ",28,27,24,89%,88.5,서울 금천구,서울특별시 금천구 가산디지털2로 95 (가산동 KM TOWER),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000366785&tracseTme=16&trainstCstmrId=500020028075&crseTracseSe=C0061,,,"194,436,960","174,993,264","218,741,580",0,0,0,"174,993,264",0,0
AIG202300004128666,"풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",AIG20230000412866,6,글로벌아이티(IT)인재개발학원,121,960,2024-02-27,2024-08-26,응용SW엔지니어링,20010202," 9,097,920 ",23,19,15,79%,90.8,서울 관악구,서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412866&tracseTme=6&trainstCstmrId=500020055899&crseTracseSe=C0061,,,"136,468,800","138,288,384","172,860,480",0,0,0,"138,288,384",0,0
