훈련과정ID,회차,훈련기관ID
AIG20240000459370,3,500033945638.0
AIG20230000455783,4,500037517077.0
AIG20230000412580,7,500037517077.0
AIG20240000498278,3,500020036576.0
AIG20230000455568,4,500020018293.0
AIG20230000412595,4,500020048300.0
AIG20240000459157,3,500033330182.0
AIG20240000459408,4,500039286716.0
AIG20240000459412,3,500039286716.0
AIG20240000459359,3,500034772319.0
AIG20240000459245,2,500020033667.0
AIG20240000498342,2,500033945638.0
AIG20240000498366,2,500033945638.0
AIG20240000498064,1,500020034374.0
AIG20240000498268,2,500020018293.0
AIG20240000498090,3,500020036576.0
AIG20240000459251,2,500020010894.0
AIG20240000459160,4,500020033277.0
AIG20230000455714,6,500020016923.0
AIG20240000498198,2,500020048147.0
AIG20240000459357,4,500039727504.0
AIG20240000459358,4,500039727504.0
AIG20240000498183,2,500020011407.0
AIG20240000498065,4,500020023588.0
AIG20240000498389,3,500037143258.0
AIG20240000459034,2,500020040446.0
AIG20240000459053,2,500020040446.0
AIG20240000459054,2,500020040446.0
AIG20240000459329,2,500037933544.0
AIG20240000498130,3,500042496680.0
AIG20240000459381,2,500020028057.0
AIG20240000498342,3,500033945638.0
AIG20230000412740,7,500020026271.0
AIG20230000412581,7,500020021310.0
AIG20240000498366,3,500033945638.0
AIG20240000459368,4,500033945638.0
AIG20240000459370,4,500033945638.0
AIG20240000459191,5,500020062069.0
AIG20240000459408,5,500039286716.0
AIG20240000498261,2,500039286716.0
AIG20230000455637,2,500040144599.0
AIG20230000455696,4,500034772319.0
AIG20240000498278,5,500020036576.0
AIG20240000459360,7,500020061827.0
AIG20240000459143,6,500020055650.0
AIG20230000412712,13,500020033277.0
AIG20240000459393,2,500020062489.0
AIG20240000459009,3,500020019318.0
AIG20240000501192,10,500037517077.0
AIG20240000501192,3,500037517077.0
AIG20240000501192,4,500037517077.0
AIG20240000501192,5,500037517077.0
AIG20240000501192,7,500037517077.0
AIG20240000501192,8,500037517077.0
AIG20240000501192,9,500037517077.0
AIG20240000459290,5,500037517077.0
AIG20240000459397,6,500039029321.0
AIG20240000459263,1,500020039927.0
AIG20240000459241,3,500020057717.0
AIG20250000540031,1,500020025371.0
AIG20240000498339,2,500020054630.0
AIG20230000412678,7,500033330182.0
AIG20240000459317,5,500039727504.0
AIG20240000459290,6,500037517077.0
AIG20240000459412,4,500039286716.0
AIG20240000498289,3,500039286716.0
AIG20240000459049,2,500020034674.0
AIG20240000498350,3,500041113426.0
AIG20240000498081,4,500020027783.0
AIG20240000459352,4,500020031484.0
AIG20240000498260,7,500033330182.0
AIG20240000459290,7,500037517077.0
AIG20240000501189,21,500037517077.0
AIG20240000501189,22,500037517077.0
AIG20240000501189,23,500037517077.0
AIG20240000501189,24,500037517077.0
AIG20240000501189,25,500037517077.0
AIG20240000501189,26,500037517077.0
AIG20240000501189,27,500037517077.0
AIG20240000501189,28,500037517077.0
AIG20240000501189,29,500037517077.0
AIG20240000501189,30,500037517077.0
AIG20240000501189,31,500037517077.0
AIG20240000501189,32,500037517077.0
AIG20240000501189,33,500037517077.0
AIG20240000501189,34,500037517077.0
AIG20240000501189,35,500037517077.0
AIG20240000501189,36,500037517077.0
AIG20240000501189,37,500037517077.0
AIG20240000501189,38,500037517077.0
AIG20240000501189,39,500037517077.0
AIG20240000501189,40,500037517077.0
AIG20240000501189,41,500037517077.0
AIG20240000498090,4,500020036576.0
AIG20230000412895,14,500037517077.0
AIG20240000498260,8,500033330182.0
AIG20240000459191,6,500020062069.0
AIG20240000459194,4,500020051277.0
AIG20240000459290,8,500037517077.0
AIG20230000455555,6,500020016923.0
AIG20230000412718,12,500033945638.0
AIG20240000498185,5,500020010894.0
AIG20230000455717,5,500037143258.0
AIG20240000459389,11,500020044796.0
AIG20230000455783,5,500037517077.0
AIG20240000459365,1,500020060063.0
AIG20240000459083,6,500038398274.0
AIG20240000459298,3,500020028586.0
AIG20240000498100,4,500020053631.0
AIG20240000459026,1,500020031484.0
AIG20240000498158,5,500039286716.0
AIG20240000498158,6,500039286716.0
AIG20240000459293,5,500037517077.0
AIG20230000412742,8,500039286716.0
AIG20230000412667,10,500020022702.0
AIG20240000498149,2,500033330182.0
AIG20240000459160,5,500020033277.0
AIG20230000455588,6,500020017030.0
AIG20250000501655,2,500020034888.0
AIG20240000501250,1,500020053280.0
AIG20240000459408,6,500039286716.0
AIG20240000498180,2,500020041301.0
AIG20250000501459,1,500020026888.0
AIG20230000412645,14,500020052430.0
AIG20230000412581,8,500020021310.0
AIG20230000412830,7,500020048147.0
AIG20240000459328,6,500044009481.0
AIG20250000501668,1,500020062069.0
AIG20250000501684,1,500020010894.0
AIG20240000459287,2,500033330182.0
AIG20230000455554,11,500020053631.0
AIG20230000412718,13,500033945638.0
AIG20230000455633,5,500020059068.0
AIG20240000498127,3,500020013370.0
AIG20250000501352,1,500034772319.0
AIG20230000412794,14,500020060638.0
AIG20250000501434,1,500020028586.0
AIG20240000498058,7,500020028075.0
AIG20250000501355,1,500020018488.0
AIG20240000498079,3,500020028586.0
AIG20240000459164,5,500020039927.0
AIG20240000459164,6,500020039927.0
AIG20240000459339,5,500020039927.0
AIG20240000459339,6,500020039927.0
AIG20240000498389,4,500037143258.0
AIG20250000501446,1,500020058127.0
AIG20250000501447,1,500020058127.0
AIG20240000498259,3,500040793315.0
AIG20250000501427,1,500020061193.0
AIG20240000501238,4,500033544209.0
AIG20240000459414,4,500034233571.0
AIG20240000498213,3,500020014478.0
AIG20250000501781,1,500020038752.0
AIG20230000455748,9,500036172479.0
AIG20240000498260,11,500033330182.0
AIG20240000459059,7,500020028748.0
AIG20230000412832,14,500037189659.0
AIG20240000498068,2,500020050681.0
AIG20240000459403,1,500020016713.0
AIG20240000459359,4,500034772319.0
AIG20240000459371,2,500020060063.0
AIG20250000501509,1,500039286716.0
AIG20240000498076,5,500020021390.0
AIG20240000498119,3,500034391173.0
AIG20230000455602,18,500034233571.0
AIG20240000498185,6,500020010894.0
AIG20230000412740,8,500020026271.0
AIG20240000459389,12,500020044796.0
AIG20240000498232,2,500020019775.0
AIG20230000455587,3,500020031484.0
AIG20230000455590,3,500020031484.0
AIG20240000459352,5,500020031484.0
AIG20240000459258,4,500020034842.0
AIG20240000459325,6,500044009481.0
AIG20240000459357,6,500039727504.0
AIG20240000459358,6,500039727504.0
AIG20250000501484,1,500020051182.0
AIG20240000459411,2,500020026271.0
AIG20240000459017,6,500020054992.0
AIG20230000455784,30,500037517077.0
AIG20240000459287,3,500033330182.0
AIG20230000412766,17,500039727504.0
AIG20250000501364,1,500042311334.0
AIG20240000459315,6,500039727504.0
AIG20240000459317,6,500039727504.0
AIG20240000459105,2,500020046780.0
AIG20240000498287,4,500020056274.0
AIG20230000455791,3,500020047973.0
AIG20240000459141,1,500020031461.0
AIG20240000459432,3,500043908868.0
AIG20240000459068,20,500020011379.0
AIG20230000412852,9,500039029321.0
AIG20240000459278,7,500020044103.0
AIG20240000459422,32,500037517077.0
AIG20240000459422,33,500037517077.0
AIG20240000459422,34,500037517077.0
AIG20240000459422,35,500037517077.0
AIG20240000459422,36,500037517077.0
AIG20240000459422,37,500037517077.0
AIG20240000459123,3,500020053280.0
AIG20240000459124,3,500020053280.0
AIG20240000501208,2,500020053280.0
AIG20250000501460,4,500020059609.0
AIG20240000459322,6,500039727504.0
AIG20240000459356,6,500039727504.0
AIG20240000498288,4,500036172479.0
AIG20250000501714,1,500037517077.0
AIG20250000501529,1,500020026794.0
AIG20250000501562,1,500020028748.0
AIG20230000412645,16,500020052430.0
AIG20230000412766,18,500039727504.0
AIG20230000412770,15,500039727504.0
AIG20240000459423,2,500039286716.0
AIG20250000501396,1,500020016716.0
AIG20240000501252,2,500037517077.0
AIG20240000459233,4,500020039927.0
AIG20230000455611,6,500037143258.0
AIG20230000455592,6,500020033591.0
AIG20240000501227,2,500020024372.0
AIG20250000501602,1,500041113426.0
AIG20250000501602,2,500041113426.0
AIG20230000412579,23,500020031803.0
AIG20230000455744,8,500020055650.0
AIG20230000455555,7,500020016923.0
AIG20250000501335,1,500020022702.0
AIG20240000498338,5,500035988371.0
AIG20250000501400,2,500020050800.0
AIG20230000412601,6,500020038200.0
AIG20240000498081,6,500020027783.0
AIG20240000459336,2,500037933544.0
AIG20250000501428,1,500020053478.0
AIG20250000501522,1,500020053280.0
AIG20240000459187,7,500037143258.0
AIG20240000459214,4,500020019775.0
AIG20230000455635,21,500020011379.0
AIG20240000501198,4,500020055650.0
AIG20230000412826,12,500020053280.0
AIG20240000459283,10,500042496680.0
AIG20240000498130,6,500042496680.0
AIG20240000498142,7,500042496680.0
AIG20240000459302,11,500042496680.0
AIG20250000501392,1,500036075789.0
AIG20240000459311,7,500020026271.0
AIG20240000459412,5,500039286716.0
AIG20250000501694,1,500035988371.0
AIG20250000501754,1,500020038642.0
AIG20240000459426,5,500037517077.0
AIG20230000455731,8,500020031803.0
AIG20250000501352,2,500034772319.0
AIG20240000459306,7,500020058127.0
AIG20250000501456,1,500020027653.0
AIG20230000455589,5,500020055633.0
AIG20240000498149,3,500033330182.0
AIG20240000498278,6,500020036576.0
AIG20240000501190,22,500037517077.0
AIG20240000501190,23,500037517077.0
AIG20240000501190,24,500037517077.0
AIG20240000501190,25,500037517077.0
AIG20240000501190,26,500037517077.0
AIG20240000501190,27,500037517077.0
AIG20240000501190,28,500037517077.0
AIG20240000501190,29,500037517077.0
AIG20240000501190,30,500037517077.0
AIG20240000501190,31,500037517077.0
AIG20240000501190,32,500037517077.0
AIG20240000501190,33,500037517077.0
AIG20240000501190,34,500037517077.0
AIG20240000501190,35,500037517077.0
AIG20240000501190,36,500037517077.0
