훈련과정ID,회차,3개월 취업인원,3개월 취업률,6개월 취업인원,6개월 취업률,수료인원
AIG20230000455602,18,3,23.1,,B,15
AIG20240000498185,6,4,26.7,,B,17
AIG20230000412740,8,,C,,C,0
AIG20240000459389,12,5,55.6,,B,9
AIG20240000498232,2,3,50.0,,B,6
AIG20230000455587,3,6,13.0,,B,54
AIG20230000455590,3,10,25.6,,B,46
AIG20240000459352,5,5,25.0,,B,23
AIG20240000459258,4,2,12.5,,B,19
AIG20240000459325,6,4,66.7,,B,7
AIG20240000459357,6,1,25.0,,B,5
AIG20240000459358,6,0,0.0,,B,4
AIG20250000501484,1,7,38.9,,B,22
AIG20240000459411,2,2,33.3,,B,9
AIG20240000459017,6,2,18.2,,B,13
AIG20230000455784,30,5,45.5,,B,14
AIG20240000459287,3,1,16.7,,B,6
AIG20230000412766,17,,B,,B,0
AIG20250000501364,1,7,24.1,,B,35
AIG20240000459315,6,2,40.0,,B,7
AIG20240000459317,6,2,28.6,,B,8
AIG20240000459105,2,4,80.0,,B,7
AIG20240000498287,4,26,68.4,,B,47
AIG20230000455791,3,0,0.0,,B,5
AIG20240000459141,1,0,0.0,,B,2
AIG20240000459432,3,4,18.2,,B,27
AIG20240000459068,20,6,30.0,,B,24
AIG20230000412852,9,2,25.0,,B,13
AIG20240000459278,7,3,37.5,,B,8
AIG20240000459422,32,9,60.0,,B,16
AIG20240000459422,33,1,9.1,,B,12
AIG20240000459422,34,3,30.0,,B,13
AIG20240000459422,35,1,12.5,,B,8
AIG20240000459422,36,3,23.1,,B,14
AIG20240000459422,37,2,40.0,,B,5
AIG20240000459123,3,1,4.3,,B,26
AIG20240000459124,3,4,10.3,,B,43
AIG20240000501208,2,7,17.5,,B,44
AIG20250000501460,4,7,43.8,,B,18
AIG20240000459322,6,1,25.0,,B,5
AIG20240000459356,6,0,0.0,,B,5
AIG20240000498288,4,3,15.0,,B,20
AIG20250000501714,1,2,14.3,,B,16
AIG20250000501529,1,5,45.5,,B,12
AIG20250000501562,1,3,50.0,,B,8
AIG20230000412645,16,3,37.5,,B,12
AIG20230000412766,18,0,0.0,,B,8
AIG20230000412770,15,4,22.2,,B,27
AIG20240000459423,2,,D,,D,25
AIG20250000501396,1,5,62.5,,B,10
AIG20240000501252,2,1,9.1,,B,16
AIG20240000459233,4,0,0.0,,B,8
AIG20230000455611,6,5,50.0,,B,12
AIG20230000455592,6,2,25.0,,B,8
AIG20240000501227,2,3,18.8,,B,17
AIG20250000501602,1,5,55.6,,B,10
AIG20250000501602,2,5,21.7,,B,25
AIG20230000412579,23,5,62.5,,B,9
AIG20230000455744,8,2,11.1,,B,23
AIG20230000455555,7,1,20.0,,B,6
AIG20250000501335,1,4,66.7,,B,9
AIG20240000498338,5,0,0.0,0,0.0,5
AIG20250000501400,2,2,20.0,,B,12
AIG20230000412601,6,2,25.0,,B,8
AIG20240000498081,6,2,40.0,,B,10
AIG20240000459336,2,1,7.1,,B,14
AIG20250000501428,1,12,80.0,,B,16
AIG20250000501522,1,2,11.8,,B,20
AIG20240000459187,7,1,12.5,,B,13
AIG20240000459214,4,1,16.7,,B,7
AIG20230000455635,21,3,17.6,,B,24
AIG20240000501198,4,1,10.0,,B,12
AIG20230000412826,12,5,25.0,,B,21
AIG20240000459283,10,3,37.5,,B,9
AIG20240000498130,6,3,16.7,,B,18
AIG20240000498142,7,4,25.0,,B,16
AIG20240000459302,11,3,27.3,,B,13
AIG20250000501392,1,6,54.5,,B,12
AIG20240000459311,7,0,0.0,0,0.0,10
AIG20240000459412,5,,B,,B,50
AIG20250000501694,1,0,0.0,2,33.3,8
AIG20250000501754,1,4,33.3,,B,12
AIG20240000459426,5,5,33.3,,B,16
AIG20230000455731,8,9,100.0,,B,10
AIG20250000501352,2,3,25.0,,B,15
